city_name,state,date,lat,lon,tz,units,cloud_cover_afternoon,humidity_afternoon,precipitation_total,temp_min,temp_max,temp_afternoon,temp_night,temp_evening,temp_morning,pressure_afternoon,wind_max_speed,wind_max_direction
Sioux Falls,South Dakota,2024-01-01,43.5488256,-96.7307737,-06:00,metric,20.0,85.0,0.0,-8.87,0.25,-4.11,-6.51,-2.13,-7.81,1024.0,5.66,180.0
Great Falls,Montana,2024-01-01,47.5048851,-111.29189,-07:00,metric,100.0,44.0,0.0,-2.68,6.91,4.92,1.45,-1.91,0.22,1022.0,8.23,230.0
Houghton,Michigan,2024-01-01,47.121872,-88.569012,-06:00,metric,75.0,81.0,0.0,-5.57,-1.08,-2.84,-5.29,-1.88,-3.87,1016.0,6.17,260.0
Fargo,North Dakota,2024-01-01,46.877229,-96.789821,-06:00,metric,0.0,87.0,0.0,-7.9,0.71,-4.32,-7.9,-1.08,-6.84,1019.0,9.77,190.0
Duluth,Minnesota,2024-01-01,46.7729322,-92.1251218,-06:00,metric,100.0,80.0,0.0,-6.65,-2.23,-3.91,-6.33,-4.75,-6.37,1022.0,9.26,240.0
Bismarck,North Dakota,2024-01-01,46.808327,-100.783739,-06:00,metric,0.0,78.0,0.0,-9.45,6.91,-2.55,-7.91,1.93,-8.29,1017.0,8.75,300.0
Aberdeen,South Dakota,2024-01-01,45.4649805,-98.487813,-06:00,metric,0.0,85.0,0.0,-12.39,-3.13,-5.71,-10.9,-5.31,-12.0,1021.0,6.17,210.0
Grand Island,Nebraska,2024-01-01,40.924271,-98.338685,-06:00,metric,75.0,86.0,0.0,-10.55,-1.08,-3.23,-8.76,-2.47,-10.55,1025.0,5.66,230.0
Glasgow,Montana,2024-01-01,48.1955915,-106.635556,-07:00,metric,100.0,65.0,0.0,-5.61,4.39,4.39,-4.61,2.39,-2.61,1018.0,11.32,300.0
Omaha,Nebraska,2024-01-01,41.2587459,-95.9383758,-06:00,metric,0.0,76.0,0.0,-9.09,2.47,-1.16,-5.61,-1.27,-8.59,1028.0,6.17,210.0
Portland,Oregon,2024-01-01,45.5202471,-122.674194,-08:00,metric,40.0,84.0,0.0,3.94,8.54,7.58,5.87,5.86,4.59,1023.0,6.26,72.0
Sioux Falls,South Dakota,2024-01-02,43.5488256,-96.7307737,-06:00,metric,57.0,84.0,0.0,-6.45,2.09,1.03,-4.29,-2.08,-4.54,1020.0,5.66,330.0
Great Falls,Montana,2024-01-02,47.5048851,-111.29189,-07:00,metric,0.0,39.0,0.0,-3.19,7.51,6.48,-2.77,0.23,-1.51,1019.0,6.69,220.0
Houghton,Michigan,2024-01-02,47.121872,-88.569012,-06:00,metric,100.0,87.0,0.23,-2.91,1.14,0.75,-2.91,0.16,-2.24,1007.0,10.29,270.0
Fargo,North Dakota,2024-01-02,46.877229,-96.789821,-06:00,metric,100.0,81.0,0.0,-3.37,1.4,0.35,-3.37,-1.14,-0.73,1019.0,5.66,300.0
Duluth,Minnesota,2024-01-02,46.7729322,-92.1251218,-06:00,metric,100.0,83.0,0.0,-3.38,0.7,0.43,-3.38,0.56,-2.64,1015.0,7.72,220.0
